Housing-1
,Area_name,New houses,New other residential building,Total dwellings,Value of new houses,Value of new other residential building,Value of alterations & additions including conversions to residential building,Value of total residential building,Value of non-residential building,Value of total building
119041379,Kogarah Bay - Carlton - Allawah,14,37,51,"9,583","16,199","1,856","27,638","16,692","44,330"
119041380,Monterey - Brighton-le-Sands - Kyeemagh,13,14,27,"8,227","6,928","2,122","17,276","1,624","18,901"
119041381,Rockdale - Banksia,10,6,17,"5,098","2,250","4,273","11,621","24,747","36,367"
119041382,Sans Souci - Ramsgate,27,37,65,"24,434","14,189","10,364","48,987","10,511","59,498"
119041668,Arncliffe - Bardwell Valley,17,19,36,"6,188","5,980","7,752","19,920",367,"20,287"
119041669,Bexley - North,21,32,54,"7,453","12,754","2,709","22,917",0,"22,917"
119041670,Bexley - South,20,6,26,"9,108","2,110","2,770","13,988","9,195","23,183"
119041671,Wolli Creek,0,20,20,0,"7,104",0,"7,104","1,424","8,528"
120,Sydney - Inner West,290,314,612,"210,756","139,220","239,407","589,382","388,199","977,582"
12001,Canada Bay,117,168,288,"92,128","78,827","53,708","224,663","45,869","270,533"
120011383,Concord - Mortlake - Cabarita,48,48,97,"38,608","19,583","8,876","67,067","5,417","72,484"
120011385,Drummoyne - Rodd Point,26,16,42,"19,802","8,270","21,051","49,122","8,026","57,148"
120011386,Five Dock - Abbotsford,23,64,89,"18,884","34,975","16,566","70,425","6,107","76,532"
120011672,Concord West - North Strathfield,16,40,56,"13,200","15,999","7,100","36,299","2,610","38,909"
120011673,Rhodes,4,0,4,"1,635",0,115,"1,750","23,709","25,459"
12002,Leichhardt,35,26,64,"23,085","13,762","99,115","135,963","42,447","178,409"
120021387,Balmain,4,5,10,"3,318","5,126","35,056","43,500","6,444","49,944"
120021389,Lilyfield - Rozelle,14,8,22,"10,618","3,604","21,607","35,829","5,551","41,380"
120021674,Annandale (NSW),7,2,9,"2,995","1,140","14,115","18,250","12,760","31,010"
120021675,Leichhardt,10,11,23,"6,155","3,893","28,337","38,384","17,692","56,076"
12003,Strathfield - Burwood - Ashfield,138,120,260,"95,542","46,631","86,584","228,756","299,883","528,640"
120031392,Canterbury (North) - Ashbury,5,0,5,"1,971",0,"10,469","12,440","18,595","31,035"
120031393,Croydon Park - Enfield,24,12,37,"12,914","5,164","10,400","28,477","2,103","30,580"
120031394,Dulwich Hill - Lewisham,7,23,30,"4,593","6,231","15,020","25,843","3,202","29,045"
120031395,Haberfield - Summer Hill,2,2,5,420,633,"19,044","20,097","2,066","22,163"
120031396,Homebush,5,28,33,"3,999","8,500","2,613","15,112","15,570","30,682"
120031576,Strathfield South,5,0,5,"3,942",0,644,"4,586","2,072","6,658"
120031676,Ashfield - North,4,0,4,"1,330",0,"1,463","2,792","36,520","39,312"
120031677,Ashfield - South,1,4,5,594,"2,276","6,657","9,527","140,854","150,381"
120031678,Burwood (NSW),12,38,50,"5,105","18,000","2,919","26,025","27,573","53,598"
120031679,Croydon,16,7,23,"7,000","2,450","6,687","16,137","4,846","20,983"
120031680,Strathfield - East,22,2,24,"17,962",700,"1,750","20,411","13,527","33,938"
120031681,Strathfield - West,35,4,39,"35,713","2,678","8,918","47,310","32,956","80,265"
121,Sydney - North Sydney and Hornsby,597,"1,412","2,015","537,408","735,716","523,549","1,796,672","672,609","2,469,281"
12101,Chatswood - Lane Cove,130,980,"1,113","109,934","497,494","175,649","783,076","303,134","1,086,211"
121011399,Chatswood (West) - Lane Cove North,25,56,84,"17,568","19,232","18,416","55,217","5,058","60,275"
121011401,St Leonards - Naremburn,4,2,6,"2,306",600,"6,788","9,693","87,865","97,559"
121011682,Artarmon,2,0,2,"1,128",0,"8,962","10,090",0,"10,090"
121011683,Castle Cove - Northbridge,23,28,51,"32,581","22,215","48,358","103,154","1,189","104,342"
121011684,Chatswood - East,9,42,51,"5,364","35,000","15,445","55,809","54,415","110,224"
121011685,Greenwich - Riverview,26,370,396,"23,322","191,702","37,041","252,065","36,087","288,152"
121011686,Lane Cove,19,11,30,"12,182","3,336","15,602","31,119","92,863","123,982"
121011687,Willoughby,22,471,493,"15,484","225,409","25,037","265,930","25,657","291,587"
12102,Hornsby,124,163,287,"59,295","58,291","36,064","153,650","96,557","250,207"
121021403,Asquith - Mount Colah,29,58,87,"13,240","19,117","8,567","40,924","9,703","50,627"
121021404,Berowra - Brooklyn - Cowan,19,0,19,"9,170",0,"5,851","15,021",150,"15,171"
